DexNr,Name,japName,Type,Classification,Height,Weight,Pic,PicShiny
1,Bulbasaur,フシギダネ,Grass/Poison,Seed,0.0,6.90000009536743,https://serebii.net/sunmoon/pokemon/001.png,https://serebii.net/Shiny/SM/001.png
2,Ivysaur,フシギソウ,Grass/Poison,Seed,1.0,13.0,https://serebii.net/sunmoon/pokemon/002.png,https://serebii.net/Shiny/SM/002.png
3,Venusaur,フシギバナ,Grass/Poison,Seed,2.0,100.0,https://serebii.net/sunmoon/pokemon/003.png,https://serebii.net/Shiny/SM/003.png
4,Charmander,ヒトカゲ,Fire,Lizard,0.600000023841858,8.5,https://serebii.net/sunmoon/pokemon/004.png,https://serebii.net/Shiny/SM/004.png
5,Charmeleon,リザード,Fire,Flame,1.10000002384186,19.0,https://serebii.net/sunmoon/pokemon/005.png,https://serebii.net/Shiny/SM/005.png
6,Charizard,リザードン,Fire/Flying,Flame,1.70000004768372,90.5,https://serebii.net/sunmoon/pokemon/006.png,https://serebii.net/Shiny/SM/006.png
7,Squirtle,ゼニガメ,Water,Tiny Turtle,0.5,9.0,https://serebii.net/sunmoon/pokemon/007.png,https://serebii.net/Shiny/SM/007.png
8,Wartortle,カメール,Water,Turtle,1.0,22.5,https://serebii.net/sunmoon/pokemon/008.png,https://serebii.net/Shiny/SM/008.png
9,Blastoise,カメックス,Water,Shellfish,1.60000002384186,85.5,https://serebii.net/sunmoon/pokemon/009.png,https://serebii.net/Shiny/SM/009.png
10,Caterpie,キャタピー,Bug,Worm,0.300000011920929,2.90000009536743,https://serebii.net/sunmoon/pokemon/010.png,https://serebii.net/Shiny/SM/010.png
11,Metapod,トランセル,Bug,Cocoon,0.699999988079071,9.89999961853027,https://serebii.net/sunmoon/pokemon/011.png,https://serebii.net/Shiny/SM/011.png
12,Butterfree,バタフリー,Bug/Flying,Butterfly,1.10000002384186,32.0,https://serebii.net/sunmoon/pokemon/012.png,https://serebii.net/Shiny/SM/012.png
13,Weedle,ビードル,Bug/Poison,Hairy,0.300000011920929,3.20000004768372,https://serebii.net/sunmoon/pokemon/013.png,https://serebii.net/Shiny/SM/013.png
14,Kakuna,コクーン,Bug/Poison,Cocoon,0.600000023841858,10.0,https://serebii.net/sunmoon/pokemon/014.png,https://serebii.net/Shiny/SM/014.png
15,Beedrill,スピアー,Bug/Poison,Poison Bee,1.0,29.5,https://serebii.net/sunmoon/pokemon/015.png,https://serebii.net/Shiny/SM/015.png
16,Pidgey,ポッポ,Normal/Flying,Tiny Bird,0.300000011920929,1.79999995231628,https://serebii.net/sunmoon/pokemon/016.png,https://serebii.net/Shiny/SM/016.png
17,Pidgeotto,ピジョン,Normal/Flying,Bird,1.10000002384186,30.0,https://serebii.net/xy/pokemon/017.png,https://serebii.net/Shiny/XY/017.png
18,Pidgeot,ピジョット,Normal/Flying,Bird,1.5,39.5,https://serebii.net/sunmoon/pokemon/018.png,https://serebii.net/Shiny/SM/018.png
19,Rattata,コラッタ,Normal,Mouse,0.300000011920929,3.5,https://serebii.net/sunmoon/pokemon/019.png,https://serebii.net/Shiny/SM/019.png
20,Raticate,ラッタ,Normal,Mouse,0.699999988079071,18.5,https://serebii.net/sunmoon/pokemon/020.png,https://serebii.net/Shiny/SM/020.png
21,Spearow,オニスズメ,Normal/Flying,Tiny Bird,0.300000011920929,2.0,https://serebii.net/sunmoon/pokemon/021.png,https://serebii.net/Shiny/SM/021.png
22,Fearow,オニドリル,Normal/Flying,Beak,1.20000004768372,38.0,https://serebii.net/sunmoon/pokemon/022.png,https://serebii.net/Shiny/SM/022.png
23,Ekans,アーボ,Poison,Snake,2.0,6.90000009536743,https://serebii.net/sunmoon/pokemon/023.png,https://serebii.net/Shiny/SM/023.png
24,Arbok,アーボック,Poison,Cobra,3.5,65.0,https://serebii.net/sunmoon/pokemon/024.png,https://serebii.net/Shiny/SM/024.png
25,Pikachu,ピカチュウ,Electric,Mouse,0.400000005960465,6.0,https://serebii.net/sunmoon/pokemon/025.png,https://serebii.net/Shiny/SM/025.png
26,Raichu,ライチュウ,Electric,Mouse,0.800000011920929,30.0,https://serebii.net/sunmoon/pokemon/026.png,https://serebii.net/Shiny/SM/026.png
27,Sandshrew,サンド,Ground,Mouse,0.600000023841858,12.0,https://serebii.net/sunmoon/pokemon/027.png,https://serebii.net/Shiny/SM/027.png
28,Sandslash,サンドパン,Ground,Mouse,1.0,29.5,https://serebii.net/sunmoon/pokemon/028.png,https://serebii.net/Shiny/SM/028.png
29,NidoranF,ニドラン♀,Poison,Poison Pin,0.400000005960465,7.0,https://serebii.net/sunmoon/pokemon/029.png,https://serebii.net/Shiny/SM/029.png
30,Nidorina,ニドリーナ,Poison,Poison Pin,0.800000011920929,20.0,https://serebii.net/sunmoon/pokemon/030.png,https://serebii.net/Shiny/SM/030.png
31,Nidoqueen,ニドクイン,Poison/Ground,Drill,1.29999995231628,60.0,https://serebii.net/sunmoon/pokemon/031.png,https://serebii.net/Shiny/SM/031.png
32,NidoranM,ニドラン♂,Poison,Poison Pin,0.5,9.0,https://serebii.net/sunmoon/pokemon/032.png,https://serebii.net/Shiny/SM/032.png
33,Nidorino,ニドリーノ,Poison,Poison Pin,0.899999976158142,19.5,https://serebii.net/sunmoon/pokemon/033.png,https://serebii.net/Shiny/SM/033.png
34,Nidoking,ニドキング,Poison/Ground,Drill,1.39999997615814,62.0,https://serebii.net/sunmoon/pokemon/034.png,https://serebii.net/Shiny/SM/034.png
35,Clefairy,ピッピ,Fairy,Fairy,0.600000023841858,7.5,https://serebii.net/sunmoon/pokemon/035.png,https://serebii.net/Shiny/SM/035.png
36,Clefable,ピクシー,Fairy,Fairy,1.29999995231628,40.0,https://serebii.net/sunmoon/pokemon/036.png,https://serebii.net/Shiny/SM/036.png
37,Vulpix,ロコン,Fire,Fox,0.600000023841858,9.89999961853027,https://serebii.net/sunmoon/pokemon/037.png,https://serebii.net/Shiny/SM/037.png
38,Ninetales,キュウコン,Fire,Fox,1.10000002384186,19.8999996185303,https://serebii.net/sunmoon/pokemon/038.png,https://serebii.net/Shiny/SM/038.png
39,Jigglypuff,プリン,Normal/Fairy,Balloon,0.5,5.5,https://serebii.net/sunmoon/pokemon/039.png,https://serebii.net/Shiny/SM/039.png
40,Wigglytuff,プクリン,Normal/Fairy,Balloon,1.0,12.0,https://serebii.net/sunmoon/pokemon/040.png,https://serebii.net/Shiny/SM/040.png
41,Zubat,ズバット,Poison/Flying,Bat,0.800000011920929,7.5,https://serebii.net/sunmoon/pokemon/041.png,https://serebii.net/Shiny/SM/041.png
42,Golbat,ゴルバット,Poison/Flying,Bat,1.60000002384186,55.0,https://serebii.net/sunmoon/pokemon/042.png,https://serebii.net/Shiny/SM/042.png
43,Oddish,ナゾノクサ,Grass/Poison,Weed,0.5,5.40000009536743,https://serebii.net/sunmoon/pokemon/043.png,https://serebii.net/Shiny/SM/043.png
44,Gloom,クサイハナ,Grass/Poison,Weed,0.800000011920929,8.60000038146973,https://serebii.net/sunmoon/pokemon/044.png,https://serebii.net/Shiny/SM/044.png
45,Vileplume,ラフレシア,Grass/Poison,Flower,1.20000004768372,18.6000003814697,https://serebii.net/sunmoon/pokemon/045.png,https://serebii.net/Shiny/SM/045.png
46,Paras,パラス,Bug/Grass,Mushroom,0.300000011920929,5.40000009536743,https://serebii.net/sunmoon/pokemon/046.png,https://serebii.net/Shiny/SM/046.png
47,Parasect,パラセクト,Bug/Grass,Mushroom,1.0,29.5,https://serebii.net/sunmoon/pokemon/047.png,https://serebii.net/Shiny/SM/047.png
48,Venonat,コンパン,Bug/Poison,Insect,1.0,30.0,https://serebii.net/sunmoon/pokemon/048.png,https://serebii.net/Shiny/SM/048.png
49,Venomoth,モルフォン,Bug/Poison,Poison Moth,1.5,12.5,https://serebii.net/sunmoon/pokemon/049.png,https://serebii.net/Shiny/SM/049.png
50,Diglett,ディグダ,Ground,Mole,0.200000002980232,0.800000011920929,https://serebii.net/sunmoon/pokemon/050.png,https://serebii.net/Shiny/SM/050.png
51,Dugtrio,ダグトリオ,Ground,Mole,0.699999988079071,33.2999992370605,https://serebii.net/sunmoon/pokemon/051.png,https://serebii.net/Shiny/SM/051.png
52,Meowth,ニャース,Normal,Scratch Cat,0.400000005960465,4.19999980926514,https://serebii.net/sunmoon/pokemon/052.png,https://serebii.net/Shiny/SM/052.png
53,Persian,ペルシアン,Normal,Classy Cat,1.0,32.0,https://serebii.net/sunmoon/pokemon/053.png,https://serebii.net/Shiny/SM/053.png
54,Psyduck,コダック,Water,Duck,0.800000011920929,19.6000003814697,https://serebii.net/sunmoon/pokemon/054.png,https://serebii.net/Shiny/SM/054.png
55,Golduck,ゴルダック,Water,Duck,1.70000004768372,76.5999984741211,https://serebii.net/sunmoon/pokemon/055.png,https://serebii.net/Shiny/SM/055.png
56,Mankey,マンキー,Fighting,Pig Monkey,0.5,28.0,https://serebii.net/sunmoon/pokemon/056.png,https://serebii.net/Shiny/SM/056.png
57,Primeape,オコリザル,Fighting,Pig Monkey,1.0,32.0,https://serebii.net/sunmoon/pokemon/057.png,https://serebii.net/Shiny/SM/057.png
58,Growlithe,ガーディ,Fire,Puppy,0.699999988079071,19.0,https://serebii.net/sunmoon/pokemon/058.png,https://serebii.net/Shiny/SM/058.png
59,Arcanine,ウインディ,Fire,Legendary,1.89999997615814,155.0,https://serebii.net/sunmoon/pokemon/059.png,https://serebii.net/Shiny/SM/059.png
60,Poliwag,ニョロモ,Water,Tadpole,0.600000023841858,12.3999996185303,https://serebii.net/sunmoon/pokemon/060.png,https://serebii.net/Shiny/SM/060.png
61,Poliwhirl,ニョロゾ,Water,Tadpole,1.0,20.0,https://serebii.net/sunmoon/pokemon/061.png,https://serebii.net/Shiny/SM/061.png
62,Poliwrath,ニョロボン,Water/Fighting,Tadpole,1.29999995231628,54.0,https://serebii.net/sunmoon/pokemon/062.png,https://serebii.net/Shiny/SM/062.png
63,Abra,ケーシィ,Psychic,Psi,0.899999976158142,19.5,https://serebii.net/sunmoon/pokemon/063.png,https://serebii.net/Shiny/SM/063.png
64,Kadabra,ユンゲラー,Psychic,Psi,1.29999995231628,56.5,https://serebii.net/sunmoon/pokemon/064.png,https://serebii.net/Shiny/SM/064.png
65,Alakazam,フーディン,Psychic,Psi,1.5,48.0,https://serebii.net/sunmoon/pokemon/065.png,https://serebii.net/Shiny/SM/065.png
66,Machop,ワンリキー,Fighting,Superpower,0.800000011920929,19.5,https://serebii.net/sunmoon/pokemon/066.png,https://serebii.net/Shiny/SM/066.png
67,Machoke,ゴーリキー,Fighting,Superpower,1.5,70.5,https://serebii.net/sunmoon/pokemon/067.png,https://serebii.net/Shiny/SM/067.png
68,Machamp,カイリキー,Fighting,Superpower,1.60000002384186,130.0,https://serebii.net/sunmoon/pokemon/068.png,https://serebii.net/Shiny/SM/068.png
69,Bellsprout,マダツボミ,Grass/Poison,Flower,0.699999988079071,4.0,https://serebii.net/sunmoon/pokemon/069.png,https://serebii.net/Shiny/SM/069.png
70,Weepinbell,ウツドン,Grass/Poison,Flycatcher,1.0,6.40000009536743,https://serebii.net/sunmoon/pokemon/070.png,https://serebii.net/Shiny/SM/070.png
71,Victreebel,ウツボット,Grass/Poison,Flycatcher,1.70000004768372,15.5,https://serebii.net/sunmoon/pokemon/071.png,https://serebii.net/Shiny/SM/071.png
72,Tentacool,メノクラゲ,Water/Poison,Jellyfish,0.899999976158142,45.5,https://serebii.net/sunmoon/pokemon/072.png,https://serebii.net/Shiny/SM/072.png
73,Tentacruel,ドククラゲ,Water/Poison,Jellyfish,1.60000002384186,55.0,https://serebii.net/sunmoon/pokemon/073.png,https://serebii.net/Shiny/SM/073.png
74,Geodude,イシツブテ,Rock/Ground,Rock,0.400000005960465,20.0,https://serebii.net/sunmoon/pokemon/074.png,https://serebii.net/Shiny/SM/074.png
75,Graveler,ゴローン,Rock/Ground,Rock,1.0,105.0,https://serebii.net/sunmoon/pokemon/075.png,https://serebii.net/Shiny/SM/075.png
76,Golem,ゴローニャ,Rock/Ground,Megaton,1.39999997615814,300.0,https://serebii.net/sunmoon/pokemon/076.png,https://serebii.net/Shiny/SM/076.png
77,Ponyta,ポニータ,Fire,Fire Horse,1.0,30.0,https://serebii.net/sunmoon/pokemon/077.png,https://serebii.net/Shiny/SM/077.png
